State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,SPSR Nellore,10/31/2023,2023,10,7.833901231,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/1/2023,2023,11,0.058594151,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/2/2023,2023,11,2.809871383,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/3/2023,2023,11,9.795433699,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/6/2023,2023,11,39.20791674,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/12/2023,2023,11,0.005749453,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/14/2023,2023,11,1.004526966,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/15/2023,2023,11,1.802893327,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/16/2023,2023,11,1.722346454,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/18/2023,2023,11,0.120503382,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11/25/2023,2023,11,25.9812265,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/10/2023,2023,12,0.09739513,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/13/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/15/2023,2023,12,0.267796909,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/18/2023,2023,12,0.078998343,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/19/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/20/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/25/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,12/30/2023,2023,12,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/5/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/8/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/9/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/12/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/13/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/19/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/20/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,1/22/2023,2023,1,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2/1/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2/4/2023,2023,2,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2/19/2023,2023,2,0.054666613,IMD GRID MODEL
Andhra Pradesh,Srikakulam,3/3/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,3/11/2023,2023,3,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,3/17/2023,2023,3,4.874001305,IMD GRID MODEL
Andhra Pradesh,Srikakulam,3/18/2023,2023,3,0.028430402,IMD GRID MODEL
Andhra Pradesh,Srikakulam,3/22/2023,2023,3,2.713409853,IMD GRID MODEL
Andhra Pradesh,Srikakulam,3/24/2023,2023,3,3.036684101,IMD GRID MODEL
Andhra Pradesh,Srikakulam,4/5/2023,2023,4,2.892950655,IMD GRID MODEL
Andhra Pradesh,Srikakulam,4/7/2023,2023,4,0.40990027,IMD GRID MODEL
Andhra Pradesh,Srikakulam,4/13/2023,2023,4,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/3/2023,2023,5,0.083335351,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/4/2023,2023,5,13.94368561,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/7/2023,2023,5,3.655607559,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/8/2023,2023,5,3.599983962,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/12/2023,2023,5,0.173887967,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/14/2023,2023,5,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/21/2023,2023,5,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/22/2023,2023,5,5.60996078,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/24/2023,2023,5,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/26/2023,2023,5,1.011079317,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/27/2023,2023,5,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,5/29/2023,2023,5,0.371631862,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/2/2023,2023,6,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/3/2023,2023,6,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/5/2023,2023,6,4.459533138,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/7/2023,2023,6,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/9/2023,2023,6,0.531575991,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/14/2023,2023,6,0.009597032,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/17/2023,2023,6,1.103561092,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/20/2023,2023,6,0.162891386,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/23/2023,2023,6,9.195607738,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/25/2023,2023,6,6.479845568,IMD GRID MODEL
Andhra Pradesh,Srikakulam,6/29/2023,2023,6,0.008114233,IMD GRID MODEL
Andhra Pradesh,Srikakulam,7/1/2023,2023,7,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,7/3/2023,2023,7,1.397779692,IMD GRID MODEL
Andhra Pradesh,Srikakulam,7/16/2023,2023,7,1.689788052,IMD GRID MODEL
Andhra Pradesh,Srikakulam,7/29/2023,2023,7,0.720877626,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/1/2023,2023,8,3.515789166,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/9/2023,2023,8,3.019845163,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/11/2023,2023,8,2.128083128,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/12/2023,2023,8,1.353793272,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/17/2023,2023,8,0.528467635,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/19/2023,2023,8,2.170072767,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/24/2023,2023,8,2.334949177,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/30/2023,2023,8,0.175144464,IMD GRID MODEL
Andhra Pradesh,Srikakulam,8/31/2023,2023,8,0.008970438,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/1/2023,2023,9,2.863995123,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/15/2023,2023,9,0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/19/2023,2023,9,6.503106569,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/20/2023,2023,9,23.22611086,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/21/2023,2023,9,6.619795141,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/23/2023,2023,9,0.00486854,IMD GRID MODEL
Andhra Pradesh,Srikakulam,9/25/2023,2023,9,1.973562634,IMD GRID MODEL
Andhra Pradesh,Srikakulam,10/2/2023,2023,10,1.830834934,IMD GRID MODEL
Andhra Pradesh,Srikakulam,10/6/2023,2023,10,0,IMD GRID MODEL
Andhra Pradesh,Chittoor,5/23/2023,2023,5,0.217586591,IMD GRID MODEL
Andhra Pradesh,Chittoor,6/4/2023,2023,6,0.074023092,IMD GRID MODEL
